Time, Collision Type, Object Tag
0, Trigger, StartPoint
3.82, Trigger, Invisible
5.88, Trigger, Invisible
10.62, Trigger, Invisible
17.5, Trigger, Invisible
18.16, Trigger, Invisible
20.9, Trigger, Invisible
22.54, Trigger, Invisible
27.14, Trigger, Invisible
27.14, Trigger, Invisible
28.62, Trigger, Invisible
28.98, Trigger, Invisible
29.4, Trigger, Invisible
34.12, Trigger, Invisible
34.14, Trigger, Invisible
35.02, Trigger, Invisible
36.48, Trigger, Invisible
43.24, Trigger, Goal
47.02, Trigger, StartPoint
